status,number_of_stories,age,ff_elevation,wc_encoded,roof_encoded
0.0,1.0,24.0,0.0,1.0,0.0
0.0,1.0,13.0,0.0,1.0,14.0
0.0,1.0,12.0,0.0,1.0,0.0
1.0,2.0,14.0,0.0,1.0,10.0
0.0,2.0,1.0,0.0,21.0,23.0
0.0,1.0,17.0,0.0,1.0,22.0
2.0,1.0,15.0,0.0,1.0,0.0
2.0,1.0,17.0,0.0,1.0,22.0
1.0,1.0,13.0,0.0,1.0,0.0
2.0,1.0,16.0,0.0,1.0,0.0
2.0,1.0,17.0,0.0,1.0,0.0
0.0,1.0,16.0,0.0,1.0,0.0
0.0,1.0,17.0,0.0,1.0,13.0
0.0,1.0,48.0,0.0,1.0,10.0
1.0,1.0,27.0,0.0,1.0,22.0
1.0,1.0,45.0,0.0,1.0,0.0
0.0,1.0,45.0,0.0,1.0,0.0
0.0,1.0,43.0,0.0,44.0,0.0
1.0,1.0,23.0,0.0,15.0,22.0
2.0,1.0,23.0,0.0,15.0,22.0
1.0,1.0,28.0,0.0,1.0,0.0
0.0,1.0,16.0,0.0,1.0,0.0
2.0,1.0,29.0,0.0,1.0,0.0
0.0,1.0,29.0,0.0,1.0,0.0
1.0,1.0,12.0,1.0,1.0,0.0
1.0,1.0,30.0,0.0,1.0,0.0
1.0,1.0,15.0,0.0,1.0,13.0
1.0,1.0,11.0,0.0,1.0,13.0
2.0,1.0,23.0,0.0,1.0,0.0
1.0,1.0,30.0,0.0,20.0,13.0
0.0,1.0,1.0,0.0,1.0,10.0
1.0,2.0,14.0,0.0,1.0,13.0
0.0,1.0,45.0,0.0,1.0,13.0
0.0,1.0,16.0,0.0,1.0,10.0
1.0,2.0,14.0,0.0,1.0,13.0
0.0,2.0,2.0,0.0,1.0,13.0
1.0,2.0,22.0,0.0,1.0,13.0
1.0,2.0,4.0,0.0,1.0,10.0
1.0,2.0,27.0,10.0,1.0,10.0
0.0,1.0,46.0,0.0,1.0,13.0
1.0,1.0,32.0,0.0,1.0,22.0
0.0,1.0,26.0,10.0,1.0,0.0
0.0,1.0,29.0,10.0,1.0,13.0
1.0,1.0,28.0,10.0,1.0,13.0
1.0,1.0,49.0,0.0,1.0,13.0
1.0,1.0,48.4,0.0,1.0,17.0
3.0,1.0,41.4,0.0,20.0,17.0
4.0,1.0,48.4,0.0,20.0,17.0
0.0,1.0,42.0,0.0,1.0,0.0
1.0,2.0,15.0,1.0,1.0,10.0
0.0,1.0,41.0,2.0,1.0,13.0
1.0,1.0,70.0,0.0,1.0,13.0
1.0,1.0,64.0,0.0,1.0,13.0
0.0,1.0,59.0,0.0,1.0,14.0
0.0,1.0,46.0,0.0,1.0,13.0
1.0,1.0,21.0,0.0,1.0,10.0
2.0,1.0,31.0,0.0,44.0,0.0
3.0,3.0,24.0,8.5,15.0,17.0
1.0,5.0,40.0,0.0,1.0,17.0
2.0,1.0,35.6,2.0,41.0,23.0
1.0,1.0,16.0,0.0,1.0,13.0
0.0,1.0,35.0,0.0,1.0,13.0
0.0,1.0,27.0,0.0,1.0,13.0
1.0,1.0,12.0,0.0,1.0,13.0
0.0,1.0,15.0,0.0,1.0,13.0
1.0,1.0,17.0,1.0,1.0,13.0
0.0,2.0,17.0,1.75,1.0,13.0
0.0,1.0,28.0,1.75,1.0,13.0
1.0,2.0,7.0,0.0,1.0,13.0
1.0,2.0,23.0,0.0,1.0,13.0
